,Name,SeasonWins,Points,FGM,FGM3,FTA,Off Rebounds,Def Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,YearsExp,Conf_Champs,WSeed,TourneyWins
0,Abilene Chr,23,71.72413793103448,25.344827586206897,7.241379310344827,19.06896551724138,9.068965517241379,22.896551724137932,14.620689655172415,11.655172413793103,8.0,2.5517241379310347,19.137931034482758,6.0,1,15.0,0.0
1,Air Force,13,67.38709677419355,24.741935483870968,7.258064516129032,15.64516129032258,7.741935483870968,25.548387096774192,13.290322580645162,13.193548387096774,4.806451612903226,1.8064516129032258,16.967741935483872,35.0,0,0.0,0.0
2,Akron,15,68.35483870967742,23.93548387096774,8.870967741935484,16.29032258064516,9.32258064516129,26.806451612903224,11.935483870967742,11.903225806451612,5.612903225806452,3.129032258064516,17.483870967741936,35.0,0,0.0,0.0
3,Alabama,18,71.78787878787878,25.060606060606062,7.0606060606060606,21.87878787878788,11.151515151515152,26.424242424242426,12.151515151515152,13.606060606060606,4.606060606060606,4.666666666666667,16.96969696969697,35.0,0,0.0,0.0
4,Alabama A&M,5,60.5625,23.0,5.6875,14.15625,10.03125,22.0,12.0,15.21875,7.3125,1.53125,18.34375,20.0,0,0.0,0.0
5,Alabama St,10,65.62068965517241,22.448275862068964,7.068965517241379,21.06896551724138,12.10344827586207,22.275862068965516,9.862068965517242,14.482758620689655,6.137931034482759,3.0,18.310344827586206,35.0,0,0.0,0.0
6,Alcorn St,6,60.333333333333336,21.62962962962963,6.111111111111111,16.48148148148148,10.62962962962963,22.555555555555557,11.25925925925926,16.296296296296298,6.555555555555555,3.4814814814814814,17.925925925925927,35.0,0,0.0,0.0
7,American Univ,15,72.03333333333333,26.0,6.333333333333333,19.633333333333333,8.4,25.4,13.4,12.866666666666667,7.366666666666666,4.366666666666666,17.333333333333332,35.0,0,0.0,0.0
8,Appalachian St,8,77.3103448275862,26.413793103448278,8.620689655172415,22.103448275862068,9.448275862068966,24.96551724137931,11.89655172413793,13.172413793103448,5.137931034482759,2.793103448275862,18.344827586206897,35.0,0,0.0,0.0
9,Arizona,17,70.90625,24.8125,7.34375,19.375,10.125,24.71875,12.4375,11.59375,5.15625,2.28125,18.5625,35.0,0,0.0,0.0
10,Arizona St,22,77.8125,26.59375,7.25,25.90625,12.15625,27.8125,13.59375,13.59375,6.21875,3.21875,19.90625,35.0,0,11.0,0.0
11,Ark Little Rock,8,73.55172413793103,26.0,6.551724137931035,22.896551724137932,7.862068965517241,25.75862068965517,13.793103448275861,16.551724137931036,5.448275862068965,2.6206896551724137,20.551724137931036,35.0,0,0.0,0.0
12,Ark Pine Bluff,12,65.29032258064517,22.129032258064516,6.064516129032258,22.06451612903226,9.806451612903226,23.06451612903226,11.03225806451613,15.0,6.225806451612903,3.3225806451612905,20.06451612903226,21.0,0,0.0,0.0
13,Arkansas,17,75.46875,26.40625,7.53125,22.75,10.25,23.28125,16.03125,13.28125,8.28125,4.875,20.40625,35.0,0,0.0,0.0
14,Arkansas St,11,72.76666666666667,24.466666666666665,7.2,22.533333333333335,12.8,24.6,11.033333333333333,13.866666666666667,5.2,4.066666666666666,21.6,35.0,0,0.0,0.0
15,Army,12,70.2258064516129,25.903225806451612,8.387096774193548,14.741935483870968,8.0,26.548387096774192,15.35483870967742,11.774193548387096,6.0,1.5483870967741935,17.032258064516128,35.0,0,0.0,0.0
16,Auburn,25,78.88235294117646,27.029411764705884,11.411764705882353,18.735294117647058,11.735294117647058,21.941176470588236,14.411764705882353,12.147058823529411,9.294117647058824,4.764705882352941,18.38235294117647,35.0,1,5.0,4.0
17,Austin Peay,20,80.06451612903226,28.548387096774192,7.870967741935484,21.322580645161292,11.709677419354838,24.35483870967742,13.129032258064516,11.96774193548387,7.0,3.2580645161290325,18.129032258064516,35.0,0,0.0,0.0
18,BYU,19,78.96875,27.4375,7.0625,23.4375,8.28125,26.65625,15.0625,11.09375,6.34375,3.34375,19.5625,35.0,0,0.0,0.0
19,Ball St,15,74.0625,26.5,6.03125,21.4375,9.3125,27.90625,12.625,14.65625,6.625,3.5,17.8125,35.0,0,0.0,0.0
20,Baylor,19,71.65625,25.5,7.9375,18.875,13.375,24.59375,13.84375,13.28125,6.125,4.75,18.78125,35.0,0,9.0,1.0
21,Belmont,25,86.86666666666666,31.666666666666668,10.366666666666667,17.9,8.9,29.666666666666668,19.6,11.6,6.666666666666667,3.8,15.7,20.0,0,11.0,0.0
22,Bethune-Cookman,12,72.03448275862068,25.96551724137931,6.448275862068965,22.413793103448278,13.137931034482758,26.75862068965517,13.655172413793103,15.931034482758621,7.0,3.310344827586207,19.82758620689655,35.0,0,0.0,0.0
23,Binghamton,8,63.096774193548384,23.258064516129032,8.03225806451613,13.387096774193548,7.258064516129032,24.129032258064516,9.35483870967742,12.35483870967742,5.354838709677419,4.354838709677419,14.483870967741936,18.0,0,0.0,0.0
24,Boise St,12,71.3125,25.53125,7.65625,17.3125,7.25,23.46875,12.03125,11.59375,6.0,2.09375,17.46875,35.0,0,0.0,0.0
25,Boston College,14,70.83870967741936,24.774193548387096,7.032258064516129,20.419354838709676,10.67741935483871,26.06451612903226,12.32258064516129,12.225806451612904,5.129032258064516,3.3225806451612905,16.419354838709676,35.0,0,0.0,0.0
26,Boston Univ,14,71.59375,27.625,6.53125,14.34375,9.34375,23.1875,13.40625,12.78125,6.0625,2.125,17.6875,35.0,0,0.0,0.0
27,Bowling Green,20,77.96875,27.59375,8.0625,21.84375,11.84375,28.3125,12.5,12.125,6.75,2.59375,17.71875,35.0,0,0.0,0.0
28,Bradley,19,66.36363636363636,23.03030303030303,6.909090909090909,19.363636363636363,9.030303030303031,25.09090909090909,12.06060606060606,12.545454545454545,5.151515151515151,3.757575757575758,17.606060606060606,35.0,1,15.0,0.0
29,Brown,17,71.89285714285714,24.714285714285715,7.5,20.964285714285715,8.642857142857142,27.714285714285715,12.214285714285714,14.714285714285714,7.75,3.857142857142857,19.107142857142858,35.0,0,0.0,0.0
30,Bryant,10,69.6,23.633333333333333,7.666666666666667,20.6,9.5,22.8,10.633333333333333,12.833333333333334,5.266666666666667,2.6333333333333333,19.166666666666668,11.0,0,0.0,0.0
31,Bucknell,21,76.78787878787878,26.272727272727273,9.424242424242424,19.78787878787879,8.757575757575758,26.21212121212121,15.727272727272727,12.363636363636363,5.242424242424242,3.515151515151515,19.0,35.0,0,0.0,0.0
32,Buffalo,30,84.81818181818181,30.272727272727273,9.696969696969697,21.181818181818183,12.575757575757576,28.515151515151516,16.636363636363637,11.727272727272727,7.242424242424242,4.090909090909091,18.333333333333332,28.0,1,6.0,1.0
33,Butler,16,71.8125,26.09375,8.75,14.75,8.8125,23.375,13.0625,10.96875,5.875,1.90625,17.84375,35.0,0,0.0,0.0
