,Name,SeasonWins,Points,FGM,FGM3,FTA,Off Rebounds,Def Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,YearsExp,Conf_Champs,WSeed,TourneyWins
0,Abilene Chr,23,71.72413793103448,25.344827586206897,7.241379310344827,19.06896551724138,9.068965517241379,22.896551724137932,14.620689655172415,11.655172413793103,8.0,2.5517241379310347,19.137931034482758,6.0,1,15,0.0
1,Arizona St,22,77.8125,26.59375,7.25,25.90625,12.15625,27.8125,13.59375,13.59375,6.21875,3.21875,19.90625,35.0,0,11,0.0
2,Auburn,25,78.88235294117646,27.029411764705884,11.411764705882353,18.735294117647058,11.735294117647058,21.941176470588236,14.411764705882353,12.147058823529411,9.294117647058824,4.764705882352941,18.38235294117647,35.0,1,5,4.0
3,Baylor,19,71.65625,25.5,7.9375,18.875,13.375,24.59375,13.84375,13.28125,6.125,4.75,18.78125,35.0,0,9,1.0
4,Belmont,25,86.86666666666666,31.666666666666668,10.366666666666667,17.9,8.9,29.666666666666668,19.6,11.6,6.666666666666667,3.8,15.7,20.0,0,11,0.0
5,Bradley,19,66.36363636363636,23.03030303030303,6.909090909090909,19.363636363636363,9.030303030303031,25.09090909090909,12.06060606060606,12.545454545454545,5.151515151515151,3.757575757575758,17.606060606060606,35.0,1,15,0.0
6,Buffalo,30,84.81818181818181,30.272727272727273,9.696969696969697,21.181818181818183,12.575757575757576,28.515151515151516,16.636363636363637,11.727272727272727,7.242424242424242,4.090909090909091,18.333333333333332,28.0,1,6,1.0
7,Cincinnati,28,71.70588235294117,24.823529411764707,6.647058823529412,21.88235294117647,12.823529411764707,23.41176470588235,13.441176470588236,10.529411764705882,6.176470588235294,4.5,16.058823529411764,35.0,1,7,0.0
8,Colgate,23,75.51515151515152,27.12121212121212,9.090909090909092,16.393939393939394,9.575757575757576,25.757575757575758,15.696969696969697,13.181818181818182,6.212121212121212,3.393939393939394,15.484848484848484,35.0,1,15,0.0
9,Duke,29,83.5,30.5,7.264705882352941,22.08823529411765,13.382352941176471,28.38235294117647,15.911764705882353,13.117647058823529,9.470588235294118,6.823529411764706,15.852941176470589,35.0,1,1,3.0
